date,open,close,high,low,volume,amount
2021-04-26,53.84,53.01,54.84,52.93,319514.0,5432612096.0
2021-04-27,52.51,52.16,52.98,51.64,255639.0,4211994736.0
2021-04-28,52.13,52.34,53.36,51.5,218412.0,3621682448.0
2021-04-29,51.51,51.49,52.15,51.24,275854.0,4496785152.0
2021-04-30,51.01,50.03,51.24,49.41,359899.0,5715463936.0
2021-05-06,49.51,47.18,49.51,47.18,423158.0,6423783424.0
2021-05-07,46.55,45.16,47.16,44.97,377980.0,5528741120.0
2021-05-10,45.16,46.18,46.63,44.32,260739.0,3802268896.0
2021-05-11,45.08,46.03,46.76,44.17,269640.0,3893703680.0
2021-05-12,46.6,48.42,48.84,46.6,384659.0,5872804608.0
2021-05-13,47.43,46.84,47.51,46.7,212696.0,3180710320.0
2021-05-14,46.48,48.35,48.54,45.95,300279.0,4532481536.0
2021-05-17,48.99,50.44,50.8,48.66,363003.0,5761021696.0
2021-05-18,50.51,50.08,51.11,49.47,194952.0,3094498224.0
2021-05-19,50.48,54.77,55.18,50.47,596491.0,10150054912.0
2021-05-20,53.84,54.82,56.36,53.54,499888.0,8686052352.0
2021-05-21,55.18,54.91,56.51,53.88,334966.0,5822862592.0
2021-05-24,54.48,55.0,55.68,53.84,271723.0,4685927168.0
2021-05-25,55.51,56.02,56.51,54.74,331523.0,5830353664.0
2021-05-26,56.51,55.9,58.7,55.84,345578.0,6206769408.0
2021-05-27,56.84,56.33,57.07,55.34,234026.0,4146048384.0
2021-05-28,56.33,57.74,58.84,55.87,371195.0,6754993920.0
2021-05-31,55.6,56.74,56.88,53.9,437553.0,7660152320.0
2021-06-01,56.75,60.33,60.81,56.75,513604.0,9530431744.0
2021-06-02,60.51,59.34,61.13,58.91,294350.0,5527643648.0
2021-06-03,59.38,58.48,59.68,57.24,250801.0,4608194816.0
2021-06-04,57.71,60.31,61.18,57.35,319848.0,6004827136.0
2021-06-07,60.84,60.63,61.47,59.51,254518.0,4842637568.0
2021-06-08,61.84,64.78,65.71,61.59,559239.0,11191286016.0
2021-06-09,64.81,64.51,65.01,62.85,316556.0,6342951424.0
2021-06-10,64.53,68.55,69.19,64.18,441000.0,9339300352.0
2021-06-11,68.61,72.85,73.83,67.87,540085.0,11985830144.0
2021-06-15,74.36,74.62,76.44,72.13,518101.0,12090497024.0
2021-06-16,72.51,67.51,74.4,67.4,618176.0,13579272704.0
2021-06-17,67.5,74.54,74.54,67.45,519978.0,11627218176.0
2021-06-18,75.84,78.84,81.28,75.39,571896.0,13931101440.0
2021-06-21,78.47,78.04,80.36,74.55,430526.0,10400538880.0
2021-06-22,78.18,76.47,79.51,75.84,316428.0,7571777536.0
2021-06-23,74.84,78.28,80.44,74.68,394501.0,9605891840.0
2021-06-24,78.51,78.81,81.13,77.24,312285.0,7696250368.0
2021-06-25,79.51,78.84,80.06,76.51,296502.0,7205570816.0
2021-06-28,78.84,81.72,82.18,78.35,347272.0,8732379648.0
2021-06-29,82.98,81.61,83.71,80.51,306258.0,7778037760.0
2021-06-30,80.51,80.84,82.68,79.18,285407.0,7146112768.0
2021-07-01,80.84,76.04,81.34,75.71,422603.0,10182009856.0
2021-07-02,74.84,76.86,78.34,73.47,374260.0,8897622528.0
2021-07-05,75.86,80.36,80.51,75.7,324901.0,7984671232.0
2021-07-06,82.18,80.68,84.18,77.51,517917.0,13098185984.0
2021-07-07,78.51,82.21,83.38,77.47,386387.0,9711793920.0
2021-07-08,81.51,81.16,84.36,80.88,393910.0,10127585792.0
2021-07-09,80.8,80.12,82.17,77.8,364947.0,9057948672.0
2021-07-12,81.61,86.0,88.15,81.01,560057.0,14759940096.0
2021-07-13,86.01,85.54,87.09,83.92,277314.0,7330680576.0
2021-07-14,84.18,78.94,84.18,78.84,612717.0,15300069376.0
2021-07-15,76.84,75.98,78.36,73.84,551899.0,13026880768.0
2021-07-16,75.76,71.48,75.76,70.85,562741.0,12801309440.0
2021-07-19,70.51,71.83,74.51,68.61,372187.0,8367318528.0
2021-07-20,70.51,73.01,73.66,70.21,246750.0,5582671872.0
2021-07-21,74.24,77.59,78.84,73.85,471511.0,11232169472.0
2021-07-22,79.28,80.16,80.32,77.23,374773.0,9242619136.0
2021-07-23,79.66,83.4,84.51,78.87,460562.0,11846110464.0
2021-07-26,80.7,80.03,83.76,77.51,404428.0,10130660096.0
2021-07-27,79.18,76.75,83.14,76.24,377707.0,9406136832.0
2021-07-28,73.84,76.01,77.54,71.84,332199.0,7758094336.0
2021-07-29,79.49,82.91,82.94,78.12,428851.0,10764228864.0
2021-07-30,82.91,85.41,86.61,81.22,457994.0,11995907840.0
2021-08-02,89.18,94.24,94.24,88.28,622259.0,17648921344.0
2021-08-03,96.84,90.54,96.84,88.85,489349.0,13975748864.0
2021-08-04,91.51,99.87,99.87,91.18,534306.0,16003137024.0
2021-08-05,97.51,97.0,99.26,95.47,368823.0,11063466240.0
2021-08-06,101.56,98.39,102.99,96.73,453626.0,13945125888.0
2021-08-09,95.56,95.08,96.36,91.56,341621.0,9914944512.0
2021-08-10,95.08,94.56,98.0,91.23,331035.0,9604456960.0
2021-08-11,93.56,95.56,96.84,92.61,263994.0,7742097408.0
2021-08-12,94.89,100.22,101.69,93.68,382779.0,11687505152.0
2021-08-13,98.23,97.23,101.39,96.56,246906.0,7475335936.0
2021-08-16,96.23,92.36,96.23,92.23,305067.0,8815872768.0
2021-08-17,91.71,90.66,94.06,89.89,272058.0,7713091840.0
2021-08-18,92.36,91.78,93.26,89.96,221723.0,6281190912.0
2021-08-19,91.78,95.13,96.79,90.08,361672.0,10474777856.0
2021-08-20,93.56,92.26,95.09,91.23,247173.0,7084185344.0
2021-08-23,91.06,93.83,95.37,89.08,295827.0,8526532864.0
2021-08-24,94.82,96.64,97.89,93.91,274399.0,8152952064.0
2021-08-25,96.49,95.96,97.16,94.23,179145.0,5272706560.0
2021-08-26,96.23,91.39,96.82,91.39,263682.0,7570972672.0
2021-08-27,90.89,93.28,95.9,90.56,262889.0,7628216320.0
2021-08-30,89.71,91.22,93.23,88.55,419092.0,11735714816.0
2021-08-31,92.85,89.56,92.85,86.08,329668.0,9041075456.0
2021-09-01,89.56,85.99,89.88,83.09,287674.0,7678475264.0
2021-09-02,86.23,86.23,87.89,84.79,165244.0,4421950976.0
2021-09-03,86.23,81.93,87.56,80.69,287964.0,7420408832.0
2021-09-06,83.89,89.76,90.23,83.56,397789.0,10725519616.0
2021-09-07,89.76,89.21,90.93,88.32,207634.0,5743962112.0
2021-09-08,89.86,87.09,90.32,86.76,182578.0,4971116544.0
2021-09-09,87.89,87.8,90.42,85.83,216256.0,5891876608.0
2021-09-10,87.8,85.76,88.07,84.77,238757.0,6341377792.0
2021-09-13,86.67,84.35,87.89,83.62,213492.0,5623333376.0
2021-09-14,84.36,86.97,89.23,82.91,354690.0,9581432832.0
2021-09-15,86.52,84.28,87.23,83.89,218809.0,5742276864.0
2021-09-16,84.28,80.89,85.48,80.74,220810.0,5613770496.0
2021-09-17,81.56,82.27,82.89,80.72,139421.0,3544731216.0
2021-09-22,79.89,79.63,81.04,78.57,163413.0,4037944336.0
2021-09-23,81.84,80.53,83.07,80.19,149784.0,3773864368.0
2021-09-24,80.88,81.15,83.06,79.56,158267.0,4002973168.0
2021-09-27,81.89,81.39,83.06,79.49,179991.0,4548951296.0
2021-09-28,81.19,79.51,81.83,79.32,162444.0,4060118400.0
2021-09-29,78.23,75.89,78.85,75.56,245555.0,5859195904.0
2021-09-30,76.63,80.4,80.46,76.29,225038.0,5528259584.0
2021-10-08,83.22,81.56,83.89,80.56,194104.0,4939109120.0
2021-10-11,81.59,82.48,84.93,79.89,211973.0,5448306944.0
2021-10-12,82.23,82.9,84.86,81.56,211651.0,5464868608.0
2021-10-13,82.9,87.63,88.43,82.0,321978.0,8631470848.0
2021-10-14,87.56,88.21,89.22,86.61,177799.0,4844827904.0
2021-10-15,88.89,91.67,93.06,87.56,287845.0,8089636864.0
2021-10-18,91.98,92.53,93.44,90.57,216214.0,6155819008.0
2021-10-19,93.23,92.16,95.53,91.89,193858.0,5581983488.0
2021-10-20,92.56,94.09,95.56,92.31,217045.0,6300647168.0
2021-10-21,94.23,92.9,94.76,91.9,180626.0,5184267776.0
2021-10-22,94.63,97.23,97.56,93.56,336549.0,10022899456.0
2021-10-25,98.26,103.01,103.44,97.97,335190.0,10469605376.0
2021-10-26,107.39,103.56,108.34,103.15,313244.0,10148404480.0
2021-10-27,101.56,104.47,106.14,100.99,219068.0,7024365568.0
2021-10-28,103.76,99.89,105.16,99.03,298267.0,9334453504.0
2021-10-29,98.94,101.0,101.81,95.15,347160.0,10585996544.0
2021-11-01,97.7,97.89,100.03,95.17,284786.0,8570609664.0
2021-11-02,100.56,101.85,103.83,99.77,290087.0,9102548480.0
2021-11-03,101.6,98.23,101.84,97.18,197248.0,6017080320.0
2021-11-04,100.94,105.56,106.89,100.24,349964.0,11223980544.0
2021-11-05,105.23,101.89,106.23,101.56,194183.0,6178126080.0
2021-11-08,99.92,102.23,103.76,99.56,169849.0,5344230912.0
2021-11-09,102.24,104.12,107.22,102.24,203305.0,6580787712.0
2021-11-10,101.89,100.65,102.43,97.75,274879.0,8480095744.0
2021-11-11,101.56,101.22,102.89,99.91,138852.0,4327235840.0
2021-11-12,102.49,99.49,102.81,99.06,148884.0,4590558720.0
2021-11-15,99.49,95.54,99.49,94.04,225372.0,6667949824.0
2021-11-16,95.23,95.06,96.46,93.23,151808.0,4462067712.0
2021-11-17,97.23,96.18,98.31,95.23,163378.0,4875749120.0
2021-11-18,95.49,95.69,96.85,93.89,129097.0,3802420928.0
2021-11-19,95.8,96.17,97.23,93.23,175159.0,5144668928.0
2021-11-22,96.69,100.89,101.06,96.63,287020.0,8785850112.0
2021-11-23,99.85,100.05,100.47,98.55,150363.0,4609989376.0
2021-11-24,99.04,98.29,100.43,97.56,141938.0,4319710976.0
2021-11-25,98.29,96.56,98.72,94.33,170971.0,5070667520.0
2021-11-26,95.56,96.45,98.82,95.24,122494.0,3671367392.0
2021-11-29,94.49,98.71,99.58,93.87,200157.0,6053231104.0
2021-11-30,99.56,98.79,99.89,98.23,131788.0,4023809744.0
2021-12-01,98.96,99.0,99.73,97.35,108279.0,3295906128.0
2021-12-02,98.89,100.16,101.91,98.26,180072.0,5567674880.0
2021-12-03,99.56,99.53,100.49,96.85,210327.0,6367075328.0
2021-12-06,97.56,97.81,101.06,97.51,178801.0,5465317632.0
2021-12-07,99.23,95.49,99.34,94.25,227679.0,6727287040.0
2021-12-08,95.9,97.49,97.56,95.39,154382.0,4606774784.0
2021-12-09,97.23,97.06,97.44,96.24,112957.0,3375316208.0
2021-12-10,95.89,97.7,97.9,94.83,144873.0,4325991168.0
2021-12-13,98.22,96.69,98.23,96.56,142941.0,4278869488.0
2021-12-14,95.73,95.03,96.25,94.46,157111.0,4609509632.0
2021-12-15,95.03,95.01,95.73,94.46,98150.0,2877855920.0
